Fragrance
rank,brand,sales,num,all_bid,
1,31131,Chanel/香奈儿,227504212.5700,1353124,20645,
2,2714,Dior/迪奥,179525113.2400,1160269,3779,
3,423101,JO MALONE,128248263.4700,842755,53946,
4,4823138,祖马龙,92283200.7900,930772,53946,
5,45624,Hermes/爱玛仕,88773140.2500,526899,11697,
6,14615,Bvlgari/宝格丽,83909343.7700,472178,53268,
7,852431,Serge Lutens,79980030.7800,315715,2142312,
8,100,Versace/范思哲,68899538.6300,421771,6805,
9,3938372,Calvin Klein/凯文克莱,57067785.6900,359768,6404,
10,16096,Gucci/古奇,47716035.7000,209926,5324,
11,3578735,Burberry/博柏利,44626164.7300,305732,6758,
12,269187,Diptyque,40656803.0900,266361,53384,
13,8997,YSL/圣罗兰,40436177.4200,206339,16356,
14,1865,Avon/雅芳,31700474.9500,1140050,29062,
15,8065,Elizabeth Arden/雅顿,29041702.2400,269263,202229,
16,160878,Ferragamo/菲拉格慕,27673265.2000,214486,14032,
17,8075,Lancome/兰蔻,27097070.2200,150417,105167,
18,3580332,Miu Miu/缪缪,26951096.1200,151048,5586,
19,596,Adidas/阿迪达斯,25945039.9800,750382,11220,
20,4732411,名蓝,25318572.8900,239988,1915856,
21,3418348,法颂,24993589.9200,283846,381210,
22,7248688,芬尚,24803626.0300,295415,219114,
23,2701,NIVEA/妮维雅,24689349.2200,909653,51297,
24,2900865,ELEA,24300567.0100,99249,1589278,
25,7414,Anna sui/安娜苏,23095197.6100,179834,3681,
26,155002,Marc Jacobs/马克雅各布斯,22738628.8400,164514,5316,
27,4980103,Boitown/冰希黎,21997597.1900,247115,219109,
28,222171,REXONA/舒耐,21953519.2600,841322,119851,
29,10256,Armani/阿玛尼,21010420.7500,130038,2503,
30,13097849,SCENT LIBRARY/气味图书馆,20690873.0400,307849,2335061,
31,14202391,健美创研,20016459.3900,1083102,2744586,
32,2354805,Creed/信仰,19989544.4800,139548,219230,
