男士香水
rank,brand,sales,num,
1,Bvlgari/宝格丽,47420062.1600,219197,
2,Chanel/香奈儿,28685269.3000,149400,
3,Versace/范思哲,26142833.4800,151442,
4,Hermes/爱玛仕,17107285.2900,88322,
5,Adidas/阿迪达斯,16740466.9600,422850,
6,芬尚,14345370.4400,170018,
7,Burberry/博柏利,13712261.1400,86844,
8,Dior/迪奥,12415960.8500,109414,
9,Calvin Klein/凯文克莱,9250467.3000,53372,
10,Armani/阿玛尼,9250343.4300,47569,
11,Gucci/古奇,8665024.2600,41729,
12,Boitown/冰希黎,8022882.5800,90840,
13,健美创研,7883692.3300,369995,
14,LYNX/凌仕,6922697.9600,196127,
15,Davidoff/大卫杜夫,5888642.0000,44151,
16,Ferragamo/菲拉格慕,5646930.1000,37230,
17,YFEE/亚菲儿,4874363.6100,57729,
18,名蓝,3879697.4900,47452,
19,KENZO/高田贤三,3648423.2600,30801,
20,john varvatos,3405896.5000,20626,
21,FANTINE/合逸,3359424.1200,84007,
22,BOSS/博士,3234248.2500,16834,
23,Montblanc/万宝龙,3161911.2200,15131,
24,奇美,3130224.5500,65049,
25,柏迪芬,3074164.7800,58711,
26,Juicy Couture,3009580.5700,27504,
27,Abercrombie＆fitch/阿贝克隆比＆费奇,2772942.0000,11392,
28,GF/高夫,2761582.0700,20546,
29,茜诗黎,2648358.7000,54096,
30,珀丽诗,2495344.0500,105579,
女士香水
rank,brand,sales,num,
1,Chanel/香奈儿,188782524.6300,1147939,
2,Dior/迪奥,160654016.6100,995215,
3,JO MALONE,92765916.9100,671640,
4,Serge Lutens,56597433.9000,227219,
5,祖马龙,47013535.4400,426566,
6,Hermes/爱玛仕,44994995.7900,288339,
7,Versace/范思哲,40655012.2000,246484,
8,Gucci/古奇,36103740.8200,155886,
9,YSL/圣罗兰,33718839.2900,169101,
10,Burberry/博柏利,29827531.5700,210618,
11,Elizabeth Arden/雅顿,28218261.6600,259842,
12,Bvlgari/宝格丽,25000544.9900,190004,
13,Lancome/兰蔻,24908008.2300,142272,
14,Avon/雅芳,24622484.0700,781109,
15,ELEA,23977769.7200,81903,
16,法颂,23879972.1000,272071,
17,Anna sui/安娜苏,22601622.0400,176145,
18,Marc Jacobs/马克雅各布斯,21503639.5500,148265,
19,Miu Miu/缪缪,21455526.0200,121574,
20,Ferragamo/菲拉格慕,21390688.6400,171886,
21,名蓝,21335799.0000,191968,
22,LANVIN/浪凡,18910722.9800,130903,
23,Boitown/冰希黎,13887997.2600,155490,
24,SCENT LIBRARY/气味图书馆,13539786.9200,208947,
25,芦丹氏,12522922.2200,156719,
26,CHLOE/蔻依,11431074.4100,86193,
27,柏迪芬,11169884.7200,176920,
28,健美创研,10864661.5100,637704,
29,芬尚,10404863.8100,125126,
30,Narciso Rodriguez,10165721.7700,72589,
中性香水
rank,brand,sales,num,
1,Calvin Klein/凯文克莱,38534007.0400,251631,
2,JO MALONE,29486965.6800,139738,
3,NIVEA/妮维雅,21512016.8500,786566,
4,REXONA/舒耐,18637292.3300,724782,
5,Atelier Cologne,16822316.4600,95109,
6,Hermes/爱玛仕,16708536.3900,102240,
7,Bvlgari/宝格丽,10158939.2200,50201,
8,Adidas/阿迪达斯,8219878.2500,292113,
9,Creed/信仰,7210000.4200,56053,
10,Diptyque,6495415.6400,73790,
11,W.DRESSROOM BY BUMSUK,6194159.4000,158804,
12,Avon/雅芳,6098827.3400,311114,
13,SCENT LIBRARY/气味图书馆,5543648.4700,85279,
14,TOM FORD/汤姆福特,5473588.4500,45998,
15,BYREDO,4738686.0300,58334,
16,笛爱儿,4490589.1000,81076,
17,Dove/多芬,4484055.9300,190580,
18,Hermes/爱马仕,3966111.2000,23724,
19,世丽雅,3493202.1400,198030,
20,费洛蒙,3322626.6300,51772,
21,阿蒂仙之香,3119405.5900,28845,
22,SUQIE/素萃,2882432.5900,96342,
23,LOEWE/罗意威,2744250.9600,11250,
24,娜马仕,2608377.0600,125607,
25,BREEZY/轻羽,2404637.1600,55548,
26,祖马龙,2362168.5700,22634,
27,clean/科立,2359265.5700,39922,
28,LYNX/凌仕,2333087.7000,62509,
29,W.dressroom,2287690.3700,61027,
30,RE CLASSIFIED,2218649.6200,11445,
其他香水
rank,brand,sales,num,
1,祖马龙,42871954.3000,481256,
2,Diptyque,31416657.5400,161346,
3,Serge Lutens,21223830.6000,50284,
4,阿蒂仙之香,13986870.4400,41516,
5,mor,12830647.6000,3538,
6,TOM FORD/汤姆福特,10434343.7300,69811,
7,Hermes/爱玛仕,9962322.7800,47998,
8,Creed/信仰,9544685.9100,58112,
9,Chanel/香奈儿,8913623.8300,47753,
10,Maison Martin Margiela,6447495.5900,29330,
11,Dior/迪奥,6303166.7600,52015,
12,BYREDO,6167987.5400,27466,
13,JO MALONE,5966455.6800,31309,
14,Miu Miu/缪缪,5456573.9000,28057,
15,YSL/圣罗兰,5166253.8800,26146,
16,Victoria’s Secret/维多利亚的秘密,4989251.8300,35294,
17,Narciso Rodriguez,4702438.4200,30037,
18,Penhaligon‘s/潘海利根,4399861.4200,31254,
19,百里生活,3784865.0000,9007,
20,Le Labo,3662319.3800,16611,
21,W.dressroom,3562294.1200,95368,
22,Hermes Parfums/爱马仕,3263021.7200,19314,
23,Armani/阿玛尼,3234824.7000,5035,
24,FREDERIC MALLE,2962740.1000,14764,
25,菩璞,2826979.0000,597,
26,Guerlain/娇兰,2753543.8200,17100,
27,Gucci/古奇,2576870.6700,9003,
28,Figs&Rouge/菲格丝,2513699.0600,177147,
29,B,2494042.6800,33946,
30,Acca Kappa,2295949.4700,14732,
