no.,tb_item_id,name,platform,shop_name,shop_type,month,num,sales(yuan),brand
1,4874374,护舒宝超净棉系列卫生巾日夜组合装84片（240mm*60p+ 夜用317mm 16p+超长夜用425mm*8p  4-6,京东,京东自营,京东自营,1706,75640,4694085.1200,whisper/护舒宝
2,2977988,【京东超市】苏菲弹力贴身纤巧日用卫生巾230mm10片*8包+苏菲超熟睡夜用柔棉感420mm4片*4包（箱装）,京东,苏菲官方旗舰店,京东自营POP,1706,58935,2665018.5900,SOFY/苏菲
3,2010235,【京东超市】高洁丝 Kotex 亲亲棉卫生巾日夜用箱装12包98片(日用240 70片+夜用280 16片+超长夜用42,京东,高洁丝官方旗舰店,京东自营POP,1706,44754,2714144.3900,高洁丝
4,4088971,高洁丝（Kotex）福袋（亲亲棉240 2片+臻选240 2片+夜安裤1片+湿厕纸10片+棉柔巾10片）,京东,京东自营,京东自营,1706,69197,3556284.6100,高洁丝
5,1499452,【京东超市】七度空间（SPACE7）优雅系列 丝柔表层 卫生巾特惠装8包 (日40片+夜用20片+超长夜16片),京东,七度空间自营官方旗舰店,京东自营POP,1706,41532,2238587.5800,SPACE7/七度空间
6,2736013,【京东超市】苏菲口袋魔法棉柔日夜组合箱装卫生巾（零味感10P×6包+森呼吸9片×2包+夜用290 7片×2包）,京东,苏菲官方旗舰店,京东自营POP,1706,27667,1453102.2100,SOFY/苏菲
7,1268538,【京东超市】ABC棉柔舒适日夜卫生巾组合9包送1包（日40片+夜8片+加长夜12片）,京东,ABC官方品牌旗舰店,京东自营POP,1706,24699,1239473.9900,ABC
8,1062060,【京东超市】ABC纤薄透气棉柔卫生巾组合装10包（日48片+夜22片 新旧包装随机发货）,京东,ABC官方品牌旗舰店,京东自营POP,1706,29718,1698944.7600,ABC
9,2808476,【京东超市】苏菲超熟睡柔棉感夜用卫生巾290mm 5P*4包 + 苏菲超熟睡柔棉感夜用 420mm 4P*6包【套装产品,京东,苏菲官方旗舰店,京东自营POP,1706,27244,1306984.1300,SOFY/苏菲
10,2788622,【京东超市】护舒宝（Always）未来感·极护液体卫生巾3包日夜套装（欧美进口 液体材料 日用20片+夜用10片）,京东,护舒宝官方旗舰店,京东自营POP,1706,24768,1478361.5000,whisper/护舒宝
11,2984886,【京东超市】七度空间（SPACE7）少女系列 纯棉表层 卫生巾特惠装20包 (日65片+夜用40片+超长夜用24片),京东,七度空间自营官方旗舰店,京东自营POP,1706,14331,1367519.2100,SPACE7/七度空间
12,4389190,【京东超市】高洁丝 Kotex日夜用箱装12包115片卫生巾(240mm42片+280mm16片+夜用420mm4片+护,京东,京东自营,京东自营,1706,25408,1292902.7400,高洁丝
13,1499445,【京东超市】七度空间（SPACE7）少女系列 纯棉表层 卫生巾特惠装8包（日30片+夜用30片+超长夜用16片）,京东,七度空间自营官方旗舰店,京东自营POP,1706,21849,1216795.5900,SPACE7/七度空间
14,3399840,【京东超市】花王乐而雅S系列卫生巾4包特惠装（日用38片+夜用26片）(新老包装随机发)(日本原装进口）,京东,京东自营,京东自营,1706,12293,1461458.9400,KAO/花王
15,2736011,【京东超市】苏菲超熟睡AIR极薄棉柔卫生巾 420mm 4片*6包+苏菲弾力貼身極薄0.1日用230mm 8片*4包,京东,苏菲官方旗舰店,京东自营POP,1706,22583,1166826.5600,SOFY/苏菲
16,1989519,【京东超市】护舒宝云感超净棉丝薄卫生巾16包送护垫18片 (日用50片+量多20片+夜用6片+护垫18片，共94片),京东,护舒宝官方旗舰店,京东自营POP,1706,29340,1648441.7600,whisper/护舒宝
17,1125725,【京东超市】ABC纤薄纯棉无黏腻卫生巾8包组合送1包（日40片+夜16片+加长夜3片送3片 新旧包装随机发货）,京东,ABC官方品牌旗舰店,京东自营POP,1706,22841,1305680.3400,ABC
18,2029441,【京东超市】七度空间（SPACE7）少女系列 纯棉表层 卫生巾特惠装12包 (日60片+超长夜用16片+超特长夜用8片),京东,七度空间自营官方旗舰店,京东自营POP,1706,18482,1457409.6200,SPACE7/七度空间
19,1291635,【京东超市】洁婷（ladycare）透气双U棉柔卫生巾超值套装 （日100片+夜20片+超长夜12片）（ 新旧包装随机）,京东,洁婷官方旗舰店,京东自营POP,1706,10697,600909.8900,Ladycare/洁婷
20,4496644,未来感（always）极护卫生巾+甜睡组合装（极护270mm*30+317mm*10+甜睡棉柔400mm*6）（欧美原装,京东,京东自营,京东自营,1706,9438,941922.5400,whisper/护舒宝
21,2726293,【京东超市】高洁丝 Kotex 臻选卫生巾日夜用箱装10包66片(日用240mm 56片+夜用350mm 4片+超长夜用,京东,高洁丝官方旗舰店,京东自营POP,1706,10005,617436.4500,高洁丝
22,2880446,【京东超市】怡丽（elis）卫生巾零敏感 组合12包（日用72片+夜用12片）,京东,怡丽品牌旗舰店,京东自营POP,1706,17984,967944.9700,Elis/怡丽
23,1914445,【京东超市】花王乐而雅S系列卫生巾彩盒6包特惠装（日用94片+夜用26片）（日本原装进口）,京东,京东自营,京东自营,1706,3257,524502.3800,KAO/花王
24,2808482,【京东超市】苏菲日用裸感S棉柔卫生巾 230mm 7P*6包+苏菲超熟睡超薄夜用410mm 4P*4包【套装产品】,京东,苏菲官方旗舰店,京东自营POP,1706,12827,594704.6500,SOFY/苏菲
25,3689701,【京东超市】花王乐而雅F系列卫生巾特惠套装（日用36片+夜用14片）（日本原装进口） ,京东,京东自营,京东自营,1706,3713,419640.6100,KAO/花王
