no.,Product Name,Shop Name,Brand,Date,Sales Value,Sales Unit,Price
1,【天猫超市】护舒宝卫生巾云感棉丝薄日用甜睡夜用护垫组合共89片,天猫超市,whisper/护舒宝,1705,1321417.8000,21022,62.85880506
2,【天猫超市】ABC卫生巾纤薄棉柔排湿表层日用+夜用6包 大包装,天猫超市,ABC,1705,1067063.9000,29505,36.16552788
3,【天猫超市】七度空间卫生巾少女纯棉超薄6日用+8超长夜用96片装,天猫超市,SPACE7/七度空间,1705,947781.6000,13144,72.10754717
4,【天猫超市】七度空间卫生巾少女超薄棉柔2日用+2夜用36片组合装,天猫超市,SPACE7/七度空间,1705,816688.6000,27314,29.90000000
5,【天猫超市】七度空间卫生巾少女纯棉日夜特惠装日用+夜用20片装,天猫超市,SPACE7/七度空间,1705,709820.0000,66118,10.73565444
6,【天猫超市】苏菲卫生巾 超熟睡16片+弹力贴身60片+迷你14片,天猫超市,SOFY/苏菲,1705,598904.8000,9252,64.73246866
7,【天猫超市】维达VIA/薇尔日夜棉柔卫生巾大包装日+夜用34片,天猫超市,VIA/薇尔,1705,429077.0800,17649,24.31169358
8,【天猫超市】七度空间卫生巾少女超薄棉柔3日用+2夜用48片组合装,天猫超市,SPACE7/七度空间,1705,358047.1000,7932,45.13957388
9,【天猫超市】ABC卫生巾棉柔日用超长夜用周期套装10包 送护垫22片,天猫超市,ABC,1705,267742.3000,4105,65.22345920
10,【天猫超市】护舒宝卫生巾瞬洁丝薄日用+甜睡夜用组合装 共92片,天猫超市,whisper/护舒宝,1705,236727.7000,3458,68.45798149
11,【天猫超市】护舒宝卫生巾云感棉丝薄日用+甜睡夜用53片大包装,天猫超市,whisper/护舒宝,1705,221564.1600,4817,45.99629645
12,【天猫超市】进口 恩芝卫生巾日夜组合套装11片+超长夜42cm*3片,天猫超市,EUNJEE/恩芝,1705,209496.0000,9245,22.66046512
13,【天猫超市】ABC卫生巾 超薄纯棉柔日用+超长夜用套装共3包组合,天猫超市,ABC,1705,205684.5000,5208,39.49395161
14,【天猫超市】花王乐而雅   日用25cm8片*2包+夜用40cm4片组合,天猫超市,KAO/花王,1705,199101.0000,3990,49.90000000
15,【天猫超市】洁婷卫生巾棉柔超薄日用16片夜用8片一周期组合,天猫超市,Ladycare/洁婷,1705,178461.2000,5558,32.10888809
16,【天猫超市】高洁丝臻选澳洲阳光棉日夜组合装日用5包+夜用3包,天猫超市,高洁丝,1705,164015.4000,2866,57.22798325
17,【天猫超市】高洁丝亲亲棉箱装72P(日60片+夜8片+超长4片）卫生巾,天猫超市,高洁丝,1705,157537.7000,2843,55.41248681
18,【天猫超市】ABC卫生巾棉柔日用240mm+夜用382mm两包KMS健康配方,天猫超市,ABC,1705,151385.5000,5845,25.90000000
