no.,Product Name,Shop Name,Brand,Date,Sales Value,Sales Unit,Price
1,子初月子纸孕卫生纸巾加长产后产褥期产房刀纸产妇专用竹浆本色纸,子初旗舰店,子初,1705,588932.0000,17685,33.30121572
2,Bluetex德国进口卫生棉条导管式内置卫生巾姨妈棒月经杯18/20支,bluetex旗舰店,BLUETEX/蓝宝丝,1705,529293.0000,17110,30.93471654
3,十月结晶产妇卫生巾产褥期孕妇产后月子恶露专用纸SMLXL48片,十月结晶旗舰店,十月结晶,1705,524004.4000,9741,53.79369675
4,十月结晶月子纸孕产妇卫生纸巾大号加长产后产褥期产房专用刀纸,十月结晶旗舰店,十月结晶,1705,523298.6000,19977,26.19505431
5,子初产妇卫生巾产后专用夏季产褥期排恶露加长产后卫生巾月子专用,子初沛熙专卖店,子初,1705,482979.3000,11868,40.69593023
6,子初棉柔型丝薄卫生巾S码8片装*2包,子初旗舰店,子初,1705,431904.0000,4908,88.00000000
7,子初产妇卫生巾产后专用月子孕妇产褥期产后大号恶露加长3包组合,子初旗舰店,子初,1705,419558.0000,8207,51.12196905
8,丹碧丝tampax内置卫生棉条导管式卫生巾姨妈月经棉棒进口日用夜用,宝洁官方旗舰店,Tampax/丹碧丝,1705,349011.8000,5582,62.52450735
9,十月结晶月子纸孕产妇卫生纸巾大号加长产后产褥期专用刀纸2袋 送,十月结晶旗舰店,十月结晶,1705,331643.2000,7011,47.30326630
10,施美因刀纸月子纸加长产后卫生巾产褥期产房产妇专用卫生纸本色纸,施美因旗舰店,施美因,1705,296404.8800,10201,29.05645329
11,强生ob卫生棉条量多型普通量少5盒内置式游泳卫生巾组合德国进口,强生文腾专卖店,o．b．,1705,279608.8000,3238,86.35231624
12,强生ob卫生棉条量多/普通/量少德国进口内置式姨妈卫生巾月经游泳,强生中国官方旗舰店,o．b．,1705,258636.6300,4563,56.68126890
13,子初月子纸产妇专用卫生纸巾长款孕妇卫生纸产房生产产后专用刀纸,子初淮仁专卖店,子初,1705,253512.0000,9269,27.35052325
14,OBB雪莲女人私密养护贴妇科私处护理保养白带异味宫寒暖宫贴护垫,obb旗舰店,OBb,1705,220840.0000,793,278.48675914
15,自由点卫生巾安睡裤裤型卫生巾安心裤20包装 产妇可用包邮,自由点旗舰店,FREEMORE/自由点,1705,209873.7000,2682,78.25268456
16,欧思朵月子纸孕产妇卫生纸巾大号加长产后月子产褥期产房专用刀纸,欧思朵旗舰店,欧思朵,1705,148543.2000,8864,16.75803249
17,德国进口强生ob卫生棉条量多型月经条棉棒卫生巾日用夜用导管式,百娇居家日用专营店,o．b．,1705,143063.7600,2306,62.03979185
18,开丽产妇卫生巾产后专用排恶露加长加大孕妇产后月子用品裤型XL码,开丽旗舰店,开丽,1705,142358.5000,3926,36.26044320
19,轻生活卫生巾 10日4夜2护套装 16盒 纯棉无添加,轻生活日化旗舰店,轻生活,1705,141588.0000,651,217.49308756
20,轻生活卫生巾 3日1夜套装 4盒 纯棉无添加,轻生活日化旗舰店,轻生活,1705,137487.0000,2217,62.01488498
21,洁婷卫生巾透气日夜全周期组合组合批发装棉柔姨妈巾防漏卫生棉,洁婷旗舰店,Ladycare/洁婷,1705,136631.9000,2281,59.90000000
22,茶花女卫生巾超凡吸收全新升级学生装日夜组合绵柔亲肤超值包装,茶花女居家日用旗舰店,Camellia Woman/茶花女,1705,130464.4000,6556,19.90000000
23,七度空间卫生巾少女纯棉柔超薄日用姨妈巾整箱批发245mm7包70片,华商创辉家居专营店,SPACE7/七度空间,1705,127344.6000,2314,55.03223855
