全部,
,1701,1702,1703,1704,1705,1706,1707,1708,1709,YTD,
0--10,33027186.91,54183444.02,57095657.69,33657994.63,37313222.08,87905512.41,40919144.08,44827498.47,39150664.16,428080324.45,
10--20,37936959.39,60465636.2,89825891.05,43417540.98,51334817.88,95848852.08,51194365.22,61376084.66,56175373.92,547575521.38,
20--30,27622560.3,44257987.89,54431657.67,37381277.45,39461448.15,74685768.11,45106144.74,50155976.74,52264865.38,425367686.43,
30--40,19600942.95,28988802.08,34901757.33,23706945.12,30567510.59,57037236.44,26471154.32,31545104.76,30396664.36,283216117.95,
40--50,12222291.26,20856532.75,34517178.34,21581804.83,23386680.53,42663371.98,28761597.79,37177923.92,31297706.51,252465087.91,
50--60,10584248.49,20768381.57,30963485.23,13816199.2,17566909.9,31919430,15234020.51,21968206.33,17520966.54,180341847.77,
60--70,10154883.67,12601587.79,17470202.53,11337573.15,14928740.74,33131576.17,15364487.99,15216239.86,15932942.3,146138234.2,
70--80,6574984.33,9514246.78,15537142.52,8644611.6,8535365.09,15801141.89,9743232.36,10478563.7,14258887.54,99088175.81,
80--90,4338262.29,4761467.41,10188512.7,7133836.24,7274111.38,8952021.41,6211138.56,13669029.75,6945192.72,69473572.46,
90--100,2779799.85,4617043.9,9284464.86,3879390.54,6031874.99,5898920.46,2693872.73,4091302.89,5363265.13,44639935.35,
100以上,17875544.41,23993714.36,27674797.83,21357928.31,20942244.95,27239299.91,20018268.18,24361518.41,22917450.16,206380766.52,

日用,
,1701,1702,1703,1704,1705,1706,1707,1708,1709,YTD,
0--10,8782545.27,14629123.41,14597292.55,9335700.65,9926205.73,22517839.58,10025186.98,11219154.52,9339173.11,110372221.8,
10--20,10480474.77,17346692.11,23627523.78,11023140.72,14377734.36,32704178.13,14874461.25,17993189.29,18620947.67,161048342.08,
20--30,12729018.22,20500089.13,25305841.88,16804746.35,16421478.37,35449592.78,21686833.24,23860266.78,24458177.69,197216044.44,
30--40,9153785.08,12603849.97,15190783.29,8902778.91,12842851.16,28833123.87,11782283.29,12711577.9,11910146.2,123931179.67,
40--50,5280597.82,10859005.8,18238448.06,11239322.23,12755752.88,22713352.57,15698830.6,19925201.19,17149807.65,133860318.8,
50--60,4589084.02,10264164.07,16599102.38,4291879.47,6816120.07,13306881.49,4175951.22,6916585.48,6189897.07,73149665.27,
60--70,3015058.91,1637715.27,3159006,2058887.82,4104176.91,15224878.26,3877132.79,3484735.56,2754684.66,39316276.18,
70--80,2224549.57,3290825.94,5369391.11,2590750.23,2439201.35,3395819.39,3918166.94,3417829.36,5628292.13,32274826.02,
80以上,3771461.69,5682022.18,9623572.09,4622330.84,5509023.4,9382644.3,4672447.8,9232825.42,7208151,59704478.72,

夜用,
,1701,1702,1703,1704,1705,1706,1707,1708,1709,YTD,
0--5,1658565.93,2562998.49,2930028.87,1653377.88,1783568.01,3697951.2,2288907.27,2386361.17,2272079.44,21233838.26,
5--10,12282098.43,20931076.08,20964094.84,12072399.22,13844758.15,35784961.8,14744937.42,17568864.34,14583419.36,162776609.64,
