no.,tb_item_id,name,platform,shop_name,shop_type,month,num,sales(yuan),brand
1,12245414328,【天猫超市】苏菲卫生巾  柔棉感超熟睡护翼夜用 8片 420mm,阿里,天猫超市,天猫超市,1706,149078,2143516.2000,SOFY/苏菲
2,12365065884,【天猫超市】花王乐而雅零触感  特薄日用卫生巾22.5cm30片,阿里,天猫超市,天猫超市,1706,61764,1471814.0000,KAO/花王
3,12429464369,【天猫超市】七度空间卫生巾少女系列纯棉超薄棉柔日用245mm*10片-天猫超市-天猫Tmall.com-上天猫，就购了-,阿里,天猫超市,天猫超市,1706,151961,1139707.5000,SPACE7/七度空间
4,16333627828,【天猫超市】苏菲卫生巾  弹力贴身棉柔纤巧日用护翼型34片 230mm,阿里,天猫超市,天猫超市,1706,65533,1350405.9000,SOFY/苏菲
5,538869556023,【天猫超市】护舒宝欧美进口液体卫生巾量多日用270mm*40片,阿里,天猫超市,天猫超市,1706,7262,545801.3000,whisper/护舒宝
6,12428860408,【天猫超市】七度空间卫生巾少女系列纯棉超薄棉柔夜用338mm*8片,阿里,天猫超市,天猫超市,1706,107947,818368.0000,SPACE7/七度空间
7,525233290859,【天猫超市】花王乐而雅零触感 超薄量多日用25cm16片 买2免1,阿里,天猫超市,天猫超市,1706,21959,759362.2000,KAO/花王
8,13384488808,【天猫超市】护舒宝卫生巾 云感棉超薄透气日用装240mm16片,阿里,天猫超市,天猫超市,1706,86920,836078.4400,whisper/护舒宝
9,20575107518,【天猫超市】高洁丝日用亲亲棉240mm18片经典系列棉柔丝薄卫生巾,阿里,天猫超市,天猫超市,1706,35180,793882.4500,高洁丝
10,12348043354,【天猫超市】七度空间卫生巾 少女系列纯棉超薄夜用275mm 10片装,阿里,天猫超市,天猫超市,1706,105644,1221597.0000,SPACE7/七度空间
11,15294921497,【天猫超市】苏菲卫生巾  极薄0.1 弹力贴身绵柔日用30片新老包装,阿里,天猫超市,天猫超市,1706,31544,761109.6000,SOFY/苏菲
12,19299035817,【天猫超市】苏菲卫生巾 超熟睡柔棉感夜用 290mm/15片包装更替中,阿里,天猫超市,天猫超市,1706,61187,888527.5000,SOFY/苏菲
13,18590652132,【天猫超市】苏菲卫生巾  日用口袋魔法零味感超薄24cm18片,阿里,天猫超市,天猫超市,1706,42627,612286.5300,SOFY/苏菲
14,541751229841,【天猫超市】高洁丝夜用放肆睡经典系列棉柔丝薄卫生巾420mm12片-天猫超市-天猫Tmall.com-上天猫，就购了-理,阿里,天猫超市,天猫超市,1706,16248,463486.9500,高洁丝
15,43481563819,Bluetex德国进口卫生棉条导管式内置卫生巾姨妈棒月经杯日用夜用,阿里,bluetex旗舰店,天猫,1706,26836,748266.9400,BLUETEX/蓝宝丝
16,531851580743,子初月子纸孕卫生纸巾加长产后产褥期产房刀纸产妇专用竹浆本色纸,阿里,子初旗舰店,天猫,1706,30130,774563.6800,子初
17,12354705318,【天猫超市】七度空间卫生巾 少女系列绢爽超薄日用245mm 10片装,阿里,天猫超市,天猫超市,1706,117737,1252119.8500,SPACE7/七度空间
18,551238125702,libresse轻曲线进口卫生巾超薄瞬吸卫生棉防漏棉柔日用组合装60片,阿里,轻曲线旗舰店,天猫,1706,69,7501.0000,Libresse/轻曲线
19,523193945989,子初产妇卫生巾产后专用月子孕妇产褥期产后大号恶露加长3包组合,阿里,子初旗舰店,天猫,1706,15352,607559.5000,子初
20,529840912571,子初产妇卫生巾产后专用夏季产褥期排恶露加长产后卫生巾月子专用,阿里,子初沛熙专卖店,天猫,1706,16122,613890.5000,子初
