日期,市场,店铺类型,品牌,子品类,系列,是否进口,表面材质,规格,香味,置入方式,片数,包数,销售额,销量,均价
1709,阿里,天猫超市,555/三五,其他,其他,其他,其他,其他,其他,其他,其他,其他,95158.1000,76139,1.24979445
1709,阿里,天猫超市,555/三五,其他,其他,国产,其他,230,其他,其他,其他,其他,1350.3000,35,38.58000000
1709,阿里,天猫超市,555/三五,其他,其他,国产,棉柔亲肤,150,无香味,其他,其他,其他,2038.2000,258,7.90000000
1709,阿里,天猫超市,555/三五,其他,其他,国产,棉柔亲肤,230,无香味,其他,其他,其他,7821.0000,790,9.90000000
1709,阿里,天猫超市,555/三五,其他,其他,国产,棉柔亲肤,250,无香味,其他,其他,其他,1245.0000,25,49.80000000
1709,阿里,天猫超市,555/三五,夜用,其他,国产,其他,290,其他,其他,30,3,3940.8000,273,14.43516484
1709,阿里,天猫超市,555/三五,夜用,其他,国产,其他,410,其他,其他,15,1,3588.0000,120,29.90000000
1709,阿里,天猫超市,555/三五,夜用,其他,国产,棉柔亲肤,290,无香味,其他,10,1,9395.1000,2409,3.90000000
1709,阿里,天猫超市,555/三五,夜用,其他,国产,棉柔亲肤,290,有香味,其他,10,1,3014.9000,511,5.90000000
1709,阿里,天猫超市,555/三五,夜用,其他,国产,棉柔亲肤,360,其他,其他,45,3,1605.9000,101,15.90000000
1709,阿里,天猫超市,555/三五,夜用,其他,国产,棉柔亲肤,360,无香味,其他,5,1,7706.4000,1976,3.90000000
1709,阿里,天猫超市,555/三五,护垫,其他,国产,棉柔亲肤,150,无香味,其他,20,1,30062.5000,15170,1.98170732
1709,阿里,天猫超市,555/三五,日用,其他,国产,棉柔亲肤,230,无香味,其他,30,6,540.0000,45,12.00000000
1709,阿里,天猫超市,555/三五,日用,其他,国产,棉柔亲肤,230,无香味,其他,40,8,9357.5000,985,9.50000000
1709,阿里,天猫超市,555/三五,日用,其他,国产,棉柔亲肤,230,无香味,其他,5,1,70258.9900,59125,1.18831273
1709,阿里,天猫超市,ABC,其他,亲柔立围系列,国产,其他,260,其他,其他,其他,其他,36712.5000,2225,16.50000000
1709,阿里,天猫超市,ABC,其他,亲柔立围系列,国产,棉柔亲肤,260,无香味,其他,其他,其他,23200.8000,1381,16.80000000
1709,阿里,天猫超市,ABC,其他,亲柔立围系列,国产,棉柔亲肤,其他,有香味,其他,其他,其他,73979.6000,3113,23.76472856
1709,阿里,天猫超市,ABC,其他,其他,其他,其他,其他,其他,其他,其他,其他,223960.9800,8627,25.96047062
1709,阿里,天猫超市,ABC,其他,其他,国产,棉柔亲肤,240,其他,其他,其他,其他,12820.5000,495,25.90000000
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,其他,382,其他,其他,3,3,2408.0000,112,21.50000000
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,其他,420,其他,其他,3,3,4275.0000,171,25.00000000
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,其他,420,其他,其他,其他,其他,8301.3000,458,18.12510917
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,棉柔亲肤,280,有香味,其他,8,1,4455.0000,450,9.90000000
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,棉柔亲肤,382,其他,其他,8,1,3648.0000,128,28.50000000
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,棉柔亲肤,382,有香味,其他,3,1,152990.3000,15329,9.98044882
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,棉柔亲肤,420,无香味,其他,3,1,7452.0000,1080,6.90000000
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,棉柔亲肤,420,有香味,其他,12,4,5805.6500,215,27.00302326
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,棉柔亲肤,420,有香味,其他,3,1,50536.5000,6871,7.35504293
1709,阿里,天猫超市,ABC,夜用,亲柔立围系列,国产,棉柔亲肤,420,有香味,其他,6,2,145425.6100,11562,12.57789396
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,280,其他,其他,56,7,38951.0000,613,63.54159869
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,280,无香味,其他,8,1,88731.2000,9400,9.43948936
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,280,有香味,其他,8,1,20793.0000,2146,9.68918919
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,323,其他,其他,15,5,11055.0000,335,33.00000000
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,323,其他,其他,27,9,2805.0000,66,42.50000000
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,323,其他,其他,其他,48,657.0000,3,219.00000000
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,323,其他,其他,其他,其他,210840.8000,15176,13.89304164
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,323,有香味,其他,12,4,2047.0100,137,14.94167883
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,323,有香味,其他,3,1,62719.4500,14295,4.38750962
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,323,有香味,其他,6,2,64643.3300,5276,12.25233700
1709,阿里,天猫超市,ABC,夜用,其他,国产,棉柔亲肤,420,其他,其他,其他,其他,190682.1600,7567,25.19917537
1709,阿里,天猫超市,ABC,夜用,新肌感系列,国产,丝柔超薄,350,其他,其他,3,1,3299.8700,531,6.21444444
1709,阿里,天猫超市,ABC,夜用,新肌感系列,国产,丝柔超薄,420,其他,其他,3,1,5753.5600,818,7.03369193
1709,阿里,天猫超市,ABC,夜用,新肌感系列,国产,其他,350,有香味,其他,6,2,87056.5800,9096,9.57086412
1709,阿里,天猫超市,ABC,夜用,新肌感系列,国产,其他,410,其他,其他,其他,其他,2589.6000,104,24.90000000
1709,阿里,天猫超市,ABC,夜用,经典纤薄系列,国产,棉柔亲肤,280,其他,其他,8,1,198970.1700,38619,5.15213159
1709,阿里,天猫超市,ABC,夜用,经典超薄系列,国产,棉柔亲肤,323,有香味,其他,3,1,21429.6500,4004,5.35206044
1709,阿里,天猫超市,ABC,夜用,经典超薄系列,国产,棉柔亲肤,323,有香味,其他,6,2,594389.6200,49975,11.89373927
1709,阿里,天猫超市,ABC,夜用,茶树精华系列,国产,棉柔亲肤,280,有香味,其他,8,1,29850.5500,3011,9.91383261
1709,阿里,天猫超市,ABC,护垫,其他,国产,棉柔亲肤,163,有香味,其他,22,1,284016.6700,35470,8.00723626
1709,阿里,天猫超市,ABC,护垫,新肌感系列,国产,其他,152,其他,其他,22,1,7599.4100,833,9.12294118
1709,阿里,天猫超市,ABC,护垫,新肌感系列,国产,其他,152,其他,其他,66,3,9267.5000,372,24.91263441
1709,阿里,天猫超市,ABC,护垫,茶树精华系列,国产,棉柔亲肤,163,其他,其他,25,1,10175.2000,1288,7.90000000
1709,阿里,天猫超市,ABC,护垫,茶树精华系列,国产,棉柔亲肤,163,有香味,其他,25,1,123600.0000,15784,7.83071465
1709,阿里,天猫超市,ABC,日用,亲柔立围系列,国产,其他,240,有香味,其他,16,2,13490.3500,776,17.38447165
1709,阿里,天猫超市,ABC,日用,亲柔立围系列,国产,棉柔亲肤,240,无香味,其他,其他,其他,20317.9000,2947,6.89443502
1709,阿里,天猫超市,ABC,日用,亲柔立围系列,国产,棉柔亲肤,240,有香味,其他,8,1,23195.4300,1981,11.70895003
1709,阿里,天猫超市,ABC,日用,其他,国产,棉柔亲肤,240,其他,其他,其他,48,4188.0000,12,349.00000000
1709,阿里,天猫超市,ABC,日用,其他,国产,棉柔亲肤,240,有香味,其他,16,2,85044.6500,3397,25.03522225
