no.,Product Name,Shop Name,Brand,Date,Sales Value,Sales Unit,Price
1,【京东超市】苏菲口袋魔法棉柔日夜组合箱装卫生巾（零味感10P×6包+森呼吸9片×2包+夜用290 7片×2包）,苏菲官方旗舰店,SOFY/苏菲,1705,1206102.7200,18302,65.90005027
2,【京东超市】高洁丝 Kotex 亲亲棉卫生巾日夜用箱装12包98片(日用240 70片+夜用280 16片+超长夜用42,高洁丝官方旗舰店,高洁丝,1705,1200831.9300,15029,79.90098676
3,【京东超市】苏菲弹力贴身纤巧日用卫生巾230mm10片*8包+苏菲超熟睡夜用柔棉感420mm4片*4包（箱装）,苏菲官方旗舰店,SOFY/苏菲,1705,946968.6100,15619,60.62927268
4,【京东超市】七度空间（SPACE7）优雅系列 丝柔表层 卫生巾特惠装8包 (日40片+夜用20片+超长夜16片),七度空间自营官方旗舰店,SPACE7/七度空间,1705,794393.8700,16584,47.90122226
5,【京东超市】苏菲超熟睡柔棉感夜用卫生巾290mm 5P*4包 + 苏菲超熟睡柔棉感夜用 420mm 4P*6包【套装产品,苏菲官方旗舰店,SOFY/苏菲,1705,782653.0700,12248,63.90047926
6,【京东超市】七度空间（SPACE7）少女系列 纯棉表层 卫生巾特惠装20包 (日65片+夜用40片+超长夜用24片),七度空间自营官方旗舰店,SPACE7/七度空间,1705,749328.5200,9055,82.75301160
7,【京东超市】ABC棉柔舒适日夜卫生巾组合9包送1包（日40片+夜8片+加长夜12片）,ABC官方品牌旗舰店,ABC,1705,679626.8500,12379,54.90159544
8,【京东超市】ABC纤薄透气排湿棉柔卫生巾组合10包（日48片+夜22片 新旧包装随机发货）,ABC官方品牌旗舰店,ABC,1705,650093.5300,11000,59.09941182
9,【京东超市】ABC纤薄纯棉排湿无黏腻卫生巾8包组合送1包（日40片+夜16片+加长夜3片送3片 新旧包装随机发货）,ABC官方品牌旗舰店,ABC,1705,589992.3100,9850,59.89769645
10,【京东超市】护舒宝云感超净棉丝薄卫生巾16包送护垫18片 (日用50片+量多20片+夜用6片+护垫18片，共94片),护舒宝官方旗舰店,whisper/护舒宝,1705,541967.8400,7518,72.08936419
11,【京东超市】七度空间（SPACE7）少女系列 纯棉表层 卫生巾特惠装12包 (日60片+超长夜用16片+超特长夜用8片),七度空间自营官方旗舰店,SPACE7/七度空间,1705,535769.2700,7665,69.89814351
12,【京东超市】护舒宝（Always）未来感·极护液体卫生巾3包日夜套装（欧美进口 液体材料 日用20片+夜用10片）,护舒宝官方旗舰店,whisper/护舒宝,1705,478044.2400,7981,59.89778724
13,护舒宝超净棉系列卫生巾日夜组合装84片（240mm*60p+ 夜用317mm 16p+超长夜用425mm*8p  4-6,京东自营,whisper/护舒宝,1705,460939.2100,8101,56.89905073
14,【京东超市】七度空间（SPACE7）少女系列 纯棉表层 卫生巾特惠装8包（日30片+夜用30片+超长夜用16片）,七度空间自营官方旗舰店,SPACE7/七度空间,1705,453777.2500,8266,54.89683644
15,【京东超市】花王乐而雅S系列卫生巾4包特惠装（日用38片+夜用26片）(新老包装随机发)(日本原装进口）,京东自营,KAO/花王,1705,384869.8800,3531,108.99741716
16,【京东超市】苏菲日用裸感S棉柔卫生巾 230mm 7P*6包+苏菲超熟睡超薄夜用410mm 4P*4包【套装产品】,苏菲官方旗舰店,SOFY/苏菲,1705,364834.6500,5373,67.90147962
17,【京东超市】维达薇尔超薄棉柔透气卫生巾优惠组合11包 送定制收纳箱（日用56片+夜用8片+超长夜用6片）,维达薇尔官方旗舰店,VIA/薇尔,1705,273159.8700,6977,39.15147915
18,【京东超市】高洁丝 Kotex 臻选卫生巾日夜用箱装10包66片(日用240mm 56片+夜用350mm 4片+超长夜用,高洁丝官方旗舰店,高洁丝,1705,237301.1600,3444,68.90277584
19,【京东超市】苏菲超熟睡AIR极薄棉柔卫生巾 420mm 4片*6包+苏菲弾力貼身極薄0.1日用230mm 8片*4包,苏菲官方旗舰店,SOFY/苏菲,1705,230194.8300,3493,65.90175494
20,【京东超市】洁婷（ladycare）透气双U棉柔卫生巾超值套装 （日100片+夜20片+超长夜12片）（ 新旧包装随机）,洁婷官方旗舰店,Ladycare/洁婷,1705,223744.8400,3609,61.99635356
21,【京东超市】怡丽（elis）卫生巾零敏感 组合12包（日用72片+夜用12片）,怡丽品牌旗舰店,Elis/怡丽,1705,207667.7200,3520,58.99651136
22,【京东超市】Free 飞 丝薄棉柔卫生巾日夜组合11包装（日用40片+夜用15片+特长8片+迷你巾10片）,京东自营,Free/飞,1705,193228.1200,1638,117.96588523
23,高洁丝（Kotex）福袋（亲亲棉240 2片+臻选240 2片+夜安裤1片+湿厕纸10片+棉柔巾10片）,京东自营,高洁丝,1705,175931.7400,2550,68.99283922
24,【京东超市】高洁丝 Kotex日夜用箱装12包115片卫生巾(240mm42片+280mm16片+夜用420mm4片+护,京东自营,高洁丝,1705,173920.4300,2903,59.91058560
25,【京东超市】ABC超薄隐形棉柔透气卫生巾8包组合送1包（日32片+夜16片+加长夜6片送3片 新旧包装随机发货）,ABC官方品牌旗舰店,ABC,1705,148436.4300,2975,49.89459832
26,【京东超市】怡丽（elis）新素肌感棉柔纤巧卫生巾日夜10包送1包（日用60P+夜用16P+护垫40P）,怡丽品牌旗舰店,Elis/怡丽,1705,138201.8900,2563,53.92192353
27,【京东超市】OB内置式卫生棉条普通型16条+OB内置式卫生棉条量多型16条,OB官方旗舰店,o．b．,1705,131696.2800,3878,33.95984528
28,【京东超市】七度空间 少女系列 纯棉表层超薄型 卫生巾 日夜特惠装20片 (日用10片+夜用10片装）,七度空间自营官方旗舰店,SPACE7/七度空间,1705,130537.1100,8210,15.89976979
29,【京东超市】花王乐而雅S系列卫生巾彩盒6包特惠装（日用94片+夜用26片）（日本原装进口）,京东自营,KAO/花王,1705,118442.5500,701,168.96226819
30,【京东超市】七度空间（SPACE7）少女系列 超薄纯棉卫生巾46片装（日用30片+夜用16片）,京东自营,SPACE7/七度空间,1705,117379.0500,3097,37.90088796
31,【京东超市】花王乐而雅F系列卫生巾特惠套装（日用36片+夜用14片）（日本原装进口） ,京东自营,KAO/花王,1705,115194.2000,1057,108.98221381
32,【京东超市】护舒宝云感超净棉丝薄卫生巾全周期组合10包装（日用50片+夜用20片+甜睡6片+无香护垫36片）,护舒宝官方旗舰店,whisper/护舒宝,1705,111872.4200,1698,65.88481743
33,【京东超市】倍舒特透气棉柔纤薄卫生巾特惠套装88片（日用48片+夜用16片+超长夜用6片+迷你巾18片）,倍舒特官方旗舰店,倍舒特,1705,111578.7400,1891,59.00515071
34,花王乐而雅（Laurier）零触感特薄日夜舒心组合10包装卫生巾（日用8片x6包+夜用350mm4片x3包+迷你16片x,花王乐而雅官方旗舰店,KAO/花王,1705,102120.6900,1293,78.97965197
35,【京东超市】高洁丝 Kotex Air极薄卫生巾日夜用箱装12包81片(240mm 64片+夜用350mm5片+超长夜用,高洁丝官方旗舰店,高洁丝,1705,101684.6000,1273,79.87792616
36,【京东超市】怡丽（elis）卫生巾零敏感日夜周期装2+1（日用丝薄8片*2包+夜用纤巧4片）,京东自营,Elis/怡丽,1705,100151.6500,3867,25.89905612
37,未来感（always）极护卫生巾+甜睡组合装（极护270mm*30+317mm*10+甜睡棉柔400mm*6）（欧美原装,京东自营,whisper/护舒宝,1705,90684.7000,908,99.87301762
38,【京东超市】洁婷（ladycare）迷你卫生巾 180mm10片装*6包 +护垫145mm20片装*2包,洁婷官方旗舰店,Ladycare/洁婷,1705,80897.3600,3371,23.99803026
39,【京东超市】Tmaxx 导管式卫生棉条 无香型(8支普通型+8支量大型+4支超大型)20支混合装(德国进口),京东自营,TMAXX/体美丝,1705,80681.5500,1686,47.85382562
40,花王乐而雅（Laurier)量多日夜安心组合11包装卫生巾（日用8片x5包+夜用4片x3包+夜用400mm4片x3包）,花王乐而雅官方旗舰店,KAO/花王,1705,79798.2600,1010,79.00817822
41,【京东超市】七度空间(SPACE7)少女系列 纯棉表层 卫生巾13包(日50片+夜20片+超长夜用16片+蘑菇贴4片),七度空间自营官方旗舰店,SPACE7/七度空间,1705,75631.0300,1108,68.25905235
42,花王乐而雅（Laurier）零触感特薄日夜经典组合11包装卫生巾（日用10片x3包+日用8片x4包+夜用350mm4片x,花王乐而雅官方旗舰店,KAO/花王,1705,66929.4400,752,89.00191489
43,【京东超市】七度空间（SPACE7）少女系列 超薄纯棉卫生巾 48片装（日用30片+夜用18片）,京东自营,SPACE7/七度空间,1705,63285.0600,1813,34.90626586
44,丹碧丝（Tampax）导管式隐形卫生棉条优惠装（普通流量16支装+3*3支装 送液体卫生巾3片装）（美国原装进口 非卫生,京东自营,whisper/护舒宝,1705,60085.6500,752,79.90113032
45,【京东超市】护舒宝云感超净棉丝薄卫生巾 8包日夜套装（日用30片+夜用6片）,护舒宝官方旗舰店,whisper/护舒宝,1705,58946.5000,1642,35.89920828
46,【京东超市】自由点瞬吸无忧薄型棉柔卫生巾组合特惠装5包（日用18P+夜用6P+超长夜用4P）,自由点自营旗舰店,FREEMORE/自由点,1705,54959.4800,1308,42.01795107
47,【京东超市】维达薇尔超薄棉柔透气卫生巾组合7送7 送维达手帕纸6包湿巾1包(日用32片+夜用12片+护垫24片),维达薇尔官方旗舰店,VIA/薇尔,1705,54287.5600,2138,25.39174930
48,【京东超市】维达薇尔超薄棉柔透气卫生巾组合16包 送维达抽纸3包(日用64片+夜用30片+超长夜用6片+裤型1片),维达薇尔官方旗舰店,VIA/薇尔,1705,54020.5700,941,57.40761955
49,【京东超市】自由点无感七日超薄纯棉表层日用夜用卫生巾特惠装14包（日用64片+夜用32+超长夜用6片）,京东自营,FREEMORE/自由点,1705,53976.0700,901,59.90684795
50,【京东超市】洁婷（ladycare）透气双U 棉柔 卫生巾组合4包（日64片+夜32片防漏瞬吸）,洁婷官方旗舰店,Ladycare/洁婷,1705,48558.4400,1079,45.00318814
