no.,Product Name,Shop Name,Brand,Date,Sales Value,Sales Unit,Price
1,【京东超市】乐而雅 laurier 特薄特长日用护翼型卫生巾25cm28片,花王乐而雅官方旗舰店,KAO/花王,1705,565725.3200,28688,19.71992889
2,【京东超市】苏菲弹力贴身棉质纤巧日用卫生巾230mm 34片（新老包装加量装随机发货）,苏菲官方旗舰店,SOFY/苏菲,1705,527715.1300,27862,18.94031764
3,【京东超市】护舒宝纯肌卫生护垫36片装 （本品为非常规售卖品，请勿购买）,护舒宝官方旗舰店,whisper/护舒宝,1705,465126.4700,14780,31.46999120
4,【京东超市】苏菲超熟睡夜用超薄随心翻卫生巾420mm 8片(新老包装，随机发放),苏菲官方旗舰店,SOFY/苏菲,1705,447752.2300,30879,14.50021795
5,【京东超市】苏菲超熟睡夜用柔棉感纤巧卫生巾290mm 15片（新老包装加量装随机发货）,苏菲官方旗舰店,SOFY/苏菲,1705,447325.0400,36075,12.39986251
6,【京东超市】苏菲极薄0.1棉柔日用卫生巾 230mm 30片（新老包装随机发放）,苏菲官方旗舰店,SOFY/苏菲,1705,421064.5500,20351,20.69011596
7,【京东超市】高洁丝 Kotex 亲亲棉卫生巾日用240mm6包108片(日用240 18片*6包),高洁丝官方旗舰店,高洁丝,1705,401856.9900,6308,63.70592739
8,【京东超市】苏菲超熟睡夜用立体护围柔棉感卫生巾420mm 8片（410mm全新升级420mm，新老品随机发放）,苏菲官方旗舰店,SOFY/苏菲,1705,382762.9000,27050,14.15019963
9,【京东超市】花王乐而雅（laurier）零触感特薄超长夜用护翼型卫生巾35cm8片 ,花王乐而雅官方旗舰店,KAO/花王,1705,323591.6800,31663,10.21986798
10,【京东超市】七度空间 （SPACE7） 少女系列 纯棉表层 超薄型 日用卫生巾 245mm*10片,七度空间自营官方旗舰店,SPACE7/七度空间,1705,321458.0000,36864,8.72010634
11,【京东超市】苏菲口袋魔法零味感超薄棉柔日用洁翼型18片（新老包装加量装随机发货）,苏菲官方旗舰店,SOFY/苏菲,1705,313624.1300,25313,12.38984435
12,【京东超市】护舒宝云感超净棉丝薄卫生巾 日用240mm 16片 新老包装随机发放,护舒宝官方旗舰店,whisper/护舒宝,1705,313032.3100,32007,9.78012029
13,【京东超市】护舒宝（Always）未来感·极护 卫生巾日用240mm 18片（欧美原装进口液体卫生巾）,护舒宝官方旗舰店,whisper/护舒宝,1705,292650.0000,7667,38.17007956
14,【京东超市】苏菲超熟睡夜用超薄随心翻棉质丝薄卫生巾350mm 8片（新老包装加量装随机发货）,苏菲官方旗舰店,SOFY/苏菲,1705,292340.7400,29800,9.81009195
15,【京东超市】花王乐而雅（laurier）零触感 特薄立锁护围日用护翼型卫生巾22.5cm28片,花王乐而雅官方旗舰店,KAO/花王,1705,290534.1200,14907,19.48977796
16,【京东超市】护舒宝云感超净棉丝薄卫生巾 夜用284mm16片（棉柔 瞬吸 超薄透气）,护舒宝官方旗舰店,whisper/护舒宝,1705,285452.4500,23132,12.34015433
17,【京东超市】高洁丝 Kotex 亲亲棉卫生巾日用240mm18片*2包装 经典棉柔丝薄系列 柔软升级,高洁丝官方旗舰店,高洁丝,1705,283245.3400,13710,20.65976222
