no.,Product Name,Shop Name,Brand,Date,Sales Value,Sales Unit,Price
1,【天猫超市】七度空间卫生巾少女系列纯棉超薄棉柔日用245mm*10片,天猫超市,SPACE7/七度空间,1705,1513305.0000,201774,7.50000000
2,【天猫超市】苏菲卫生巾  柔棉感超熟睡护翼夜用 8片 420mm,天猫超市,SOFY/苏菲,1705,1442960.7000,96843,14.90000000
3,【天猫超市】苏菲卫生巾  弹力贴身棉柔纤巧日用护翼型34片 230mm,天猫超市,SOFY/苏菲,1705,1164447.2000,59741,19.49159204
4,【天猫超市】花王乐而雅零触感  特薄日用卫生巾22.5cm30片,天猫超市,KAO/花王,1705,996878.9000,41842,23.82483868
5,【天猫超市】苏菲  卫生巾 护翼夜用夜用 超熟睡柔棉感420 15片,天猫超市,SOFY/苏菲,1705,803180.7400,30376,26.44129378
6,【天猫超市】七度空间卫生巾少女系列纯棉超薄棉柔夜用338mm*8片,天猫超市,SPACE7/七度空间,1705,737937.2000,97097,7.60000000
7,【天猫超市】苏菲卫生巾  日用口袋魔法零味感超薄24cm18片,天猫超市,SOFY/苏菲,1705,638569.3000,42857,14.90000000
8,【天猫超市】苏菲卫生巾  极薄0.1 弹力贴身绵柔日用30片新老包装,天猫超市,SOFY/苏菲,1705,611454.6600,27621,22.13731074
9,【天猫超市】高洁丝日用亲亲棉240mm18片经典系列棉柔丝薄卫生巾,天猫超市,高洁丝,1705,587530.7600,24149,24.32940329
10,【天猫超市】护舒宝卫生巾 云感棉超薄透气日用装240mm16片,天猫超市,whisper/护舒宝,1705,587080.8000,58026,10.11754731
11,【天猫超市】苏菲卫生巾 超熟睡柔棉感夜用 290mm/15片包装更替中,天猫超市,SOFY/苏菲,1705,579446.6200,42643,13.58831743
12,【天猫超市】七度空间卫生巾 少女系列纯棉超薄夜用275mm 10片装,天猫超市,SPACE7/七度空间,1705,537762.3200,58769,9.15044190
13,【天猫超市】高洁丝日用亲亲棉240mm32片经典系列棉柔丝薄卫生巾,天猫超市,高洁丝,1705,527566.4100,23408,22.53786782
14,【天猫超市】花王乐而雅零触感 超薄量多日用25cm16片卫生巾,天猫超市,KAO/花王,1705,522812.8000,15102,34.61877897
15,【天猫超市】七度空间卫生巾少女纯棉超特长甜睡夜用420mm 4片装,天猫超市,SPACE7/七度空间,1705,461337.5000,36907,12.50000000
16,【天猫超市】苏菲卫生巾 护垫  零敏肌155mm 丝薄无香型 48片,天猫超市,SOFY/苏菲,1705,446145.0600,51086,8.73321575
17,【天猫超市】高洁丝夜用放肆睡280mm8片经典系列棉柔纤巧卫生巾,天猫超市,高洁丝,1705,431537.4200,33836,12.75379537
18,【天猫超市】高洁丝日用臻选240mm16片澳洲进口纯棉超薄卫生巾,天猫超市,高洁丝,1705,416391.6400,15011,27.73910066
19,【天猫超市】七度空间卫生巾 少女系列绢爽超薄夜用275mm 10片装,天猫超市,SPACE7/七度空间,1705,390547.6200,42871,9.10983229
20,【天猫超市】七度空间卫生巾 少女系列棉棉特薄夜用275mm 10片装,天猫超市,SPACE7/七度空间,1705,373927.4000,20798,17.97900760
21,【天猫超市】苏菲卫生巾   弹力贴身超熟睡柔棉感夜用8片 350mm,天猫超市,SOFY/苏菲,1705,370902.0500,33112,11.20143906
22,【天猫超市】高洁丝HelloKitty夜安裤M-L号12条 安心裤裤型卫生巾,天猫超市,高洁丝,1705,369201.3000,9527,38.75315419
23,【天猫超市】高洁丝经典棉柔丝薄夜用卫生巾放肆睡420mm 12片,天猫超市,高洁丝,1705,350079.5700,11594,30.19489132
24,【天猫超市】高洁丝夜用放肆睡420mm4片经典系列棉柔丝薄卫生巾,天猫超市,高洁丝,1705,347864.8000,27352,12.71807546
25,【天猫超市】苏菲卫生巾 极上系列超熟睡夜用AIR气垫420mm 12片,天猫超市,SOFY/苏菲,1705,340597.8000,14516,23.46361257
26,【天猫超市】高洁丝经典棉柔AIR超薄0.08日用卫生巾240mm 16片,天猫超市,高洁丝,1705,301515.9900,13610,22.15400367
27,【天猫超市】七度空间卫生巾 优雅系列丝柔超长夜用338mm 8片装,天猫超市,SPACE7/七度空间,1705,293835.8200,33912,8.66465617
28,【天猫超市】苏菲卫生巾 超熟睡安心裤 M-L  5片 夜用 全包围,天猫超市,SOFY/苏菲,1705,281901.9900,13285,21.21957019
29,【天猫超市】 苏菲卫生巾弹力贴身棉柔洁翼型日用卫生巾230mm20片,天猫超市,SOFY/苏菲,1705,263822.0000,18980,13.90000000
30,【天猫超市】七度卫生巾 优雅系列丝柔超长夜用338mm 24片装,天猫超市,SPACE7/七度空间,1705,261229.6100,8447,30.92572629
31,【天猫超市】七度空间卫生巾 少女系列绢爽超薄日用245mm 10片装,天猫超市,SPACE7/七度空间,1705,259745.8700,29692,8.74800855
32,【天猫超市】苏菲 卫生巾 裸感S系列 日用卫生巾 25cm 13片,天猫超市,SOFY/苏菲,1705,251333.4000,17601,14.27949548
33,【天猫超市】苏菲卫生巾  超熟睡超薄随心翻棉柔夜用8片 420mm,天猫超市,SOFY/苏菲,1705,250895.6600,22331,11.23530787
34,【天猫超市】七度空间卫生巾 少女系列纯棉超薄夜用275mm 5片装,天猫超市,SPACE7/七度空间,1705,242814.5000,41155,5.90000000
35,【天猫超市】苏菲卫生巾 护垫 经期前后小翅膀护垫175无香 18P,天猫超市,SOFY/苏菲,1705,240905.0800,14779,16.30049936
36,【天猫超市】日本进口 花王乐而雅卫生巾19/片零触感特薄长时间,天猫超市,KAO/花王,1705,236625.9000,6981,33.89570262
37,【天猫超市】苏菲卫生巾 超熟睡安心裤M 夜用熟睡 2片 全包围防漏,天猫超市,SOFY/苏菲,1705,236188.2000,26538,8.90000000
38,【天猫超市】苏菲卫生巾 超薄随心翻 超熟睡丝薄夜用350mm 8片,天猫超市,SOFY/苏菲,1705,230730.5900,21797,10.58542873
39,【天猫超市】ABC卫生巾护垫纯棉柔丝薄163mm22片装含KMS透气,天猫超市,ABC,1705,224375.7000,28996,7.73816044
40,【天猫超市】护舒宝欧美进口液体卫生巾量多日用270mm*40片,天猫超市,whisper/护舒宝,1705,205382.0000,2172,94.55893186
