no.,Product Name,Shop Name,Brand,Date,Sales Value,Sales Unit,Price
1,全棉时代 奈丝公主卫生巾 纯棉表层日用夜用 超薄加长组合装 16包,全棉时代官方旗舰店,Purcotton/全棉时代,1705,2284070.4000,15357,148.73154913
2,全棉时代 奈丝公主卫生巾 纯棉表层日用夜用 超吸加长组合装 16包,全棉时代官方旗舰店,Purcotton/全棉时代,1705,1814252.8000,12995,139.61160446
3,高洁丝卫生巾亲亲棉日用9包+美人鱼扇尾夜用3包+迷你巾+护垫,高洁丝官方旗舰店,高洁丝,1705,1616386.7000,21811,74.10878456
4,护舒宝云感棉卫生巾纯棉亲肤夜用日用姨妈巾组合混合套装日夜棉柔,宝洁官方旗舰店,whisper/护舒宝,1705,1507475.5000,20320,74.18678642
5,七度空间卫生巾批发整箱少女姨妈巾纯棉日用夜用正品护垫混合装,七度空间恒阜专卖店,SPACE7/七度空间,1705,1305396.8200,32848,39.74052667
6,七度空间卫生巾批发少女纯棉柔超薄日用夜用护垫姨妈巾整箱混合装,华商创辉家居专营店,SPACE7/七度空间,1705,1248342.3000,17911,69.69696276
7,【限量抢1/2价】苏菲超熟睡夜用柔棉感420+290+日用弹力贴身组合,苏菲官方旗舰店,SOFY/苏菲,1705,1231458.7000,15403,79.94927612
8,七度空间卫生巾少女系列纯棉薄薄日用夜用超长姨妈巾组合官方正品,七度空间官方旗舰店,SPACE7/七度空间,1705,1158976.2000,14087,82.27274792
9,高洁丝卫生巾亲亲棉丝薄日用7包+丝薄夜用3包+迷你巾+护垫,高洁丝官方旗舰店,高洁丝,1705,1106681.7000,17014,65.04535677
10,阿道夫卫生巾日夜用护垫64片珍珠棉面防侧漏透气长久干爽减少闷热,阿道夫家居旗舰店,ADAOFU/阿道夫,1705,1008245.6000,17704,56.95015816
11,七度空间优雅系列卫生巾丝柔薄薄姨妈巾套装日用夜用组合官方正品,七度空间官方旗舰店,SPACE7/七度空间,1705,915926.1000,12568,72.87763367
12,ABC卫生巾棉柔纤薄防侧漏日用夜用纯棉防侧漏贴身组合套装包邮A1,abc官方旗舰店,ABC,1705,908649.1000,11905,76.32499790
13,怡丽卫生巾 棉柔纤巧舒适组合装 日用贴身夜用超长防漏无荧光剂,怡丽官方旗舰店,Elis/怡丽,1705,866372.2500,21148,40.96710091
14,七度空间卫生巾姨妈巾少女日夜用整箱批发13包76片混合装纯棉组合,桦川家居专营店,SPACE7/七度空间,1705,845605.4000,16946,49.90000000
15,全棉时代 奈丝公主卫生巾 纯棉表层日用夜用 棉爽超薄组合装 16包,全棉时代官方旗舰店,Purcotton/全棉时代,1705,821841.2000,4984,164.89590690
16,丹碧丝Tampax进口隐形卫生棉条 导管式内置无感姨妈卫生巾日夜用,宝洁官方旗舰店,Tampax/丹碧丝,1705,720977.4000,7076,101.89053137
17,ABC卫生巾纯棉柔纤薄防侧漏日夜用组合套装日用5包夜用5包包邮B1,abc官方旗舰店,ABC,1705,679656.9000,8864,76.67609431
